County,Registered Voters,Cumulative In-Person Voters,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,turnout_pct,date_2020,days_til_eday,date_2024
TRAVIS,854577,35784,21398,57182,0.07,10/13/20,21,10/15/24
TRAVIS,854577,73826,24580,98406,0.12,10/14/20,20,10/16/24
TRAVIS,854577,113047,28592,141639,0.17,10/15/20,19,10/17/24
TRAVIS,854577,154309,32714,187023,0.22,10/16/20,18,10/18/24
TRAVIS,854577,183573,33759,217332,0.25,10/17/20,17,10/19/24
TRAVIS,854577,197932,34159,232091,0.27,10/18/20,16,10/20/24
TRAVIS,854577,229877,41912,271789,0.32,10/19/20,15,10/21/24
TRAVIS,854577,261592,45850,307442,0.36,10/20/20,14,10/22/24
TRAVIS,854577,291214,48632,339846,0.40,10/21/20,13,10/23/24
TRAVIS,854577,317972,50987,368959,0.43,10/22/20,12,10/24/24
TRAVIS,854577,344678,53048,397726,0.47,10/23/20,11,10/25/24
TRAVIS,854577,360058,54313,414371,0.48,10/24/20,10,10/26/24
TRAVIS,854577,370108,54486,424594,0.50,10/25/20,9,10/27/24
TRAVIS,854577,389681,56170,445851,0.52,10/26/20,8,10/28/24
TRAVIS,854577,410104,57541,467645,0.55,10/27/20,7,10/29/24
TRAVIS,854577,432446,59044,491490,0.58,10/28/20,6,10/30/24
TRAVIS,854577,456626,60679,517305,0.61,10/29/20,5,10/31/24
TRAVIS,854577,486702,62319,549021,0.64,10/30/20,4,11/1/24
TRAVIS,854577,486702,62319,549021,0.64,10/31/20,3,11/2/24
TRAVIS,854577,486702,62319,549021,0.64,11/1/20,2,11/3/24
TRAVIS,854577,486702,62319,549021,0.64,11/2/20,1,11/4/24
TRAVIS,854577,537260,75436,612696,0.72,11/3/20,0,11/5/24